5815 :    2   3   1  10      0   -6.615810	   2   3   1  10      0   -5.180930
5816 :    2   3   0  11      0   -6.615810	   2   3   0  11      0   -5.180930
5842 :    4   5   1  10      0   -4.678082	   4   5   1  10      0   -3.663468
5843 :    4   5   0  11      0   -4.678082	   4   5   0  11      0   -3.663468
5873 :    6   7   3  16      0   -8.244491	   6   7   3  16      0   -6.319402
5874 :    6   7   2  17      0   -8.244491	   6   7   2  17      0   -6.319402
5898 :    8   9   3  16      0   -1.806071	   8   9   3  16      0   -1.544098
5899 :    8   9   2  17      0   -1.806071	   8   9   2  17      0   -1.544098
5901 :    8   9   5  18      0   -7.546255	   8   9   5  18      0   -5.693836
5902 :    8   9   4  19      0   -7.546255	   8   9   4  19      0   -5.693836
5923 :    1  10   2  17      0   -3.932366	   1  10   2  17      0    1.544860
5926 :    1  10   4  19      0   -2.780603	   1  10   4  19      0    1.092380
5945 :    0  11   3  16      0   -3.932366	   0  11   3  16      0    1.544860
5948 :    0  11   5  18      0   -2.780603	   0  11   5  18      0    1.092380
5967 :   10  11   3  16      0   -8.417025	  10  11   3  16      0   -6.564606
5968 :   10  11   2  17      0   -8.417025	  10  11   2  17      0   -6.564606
5970 :   10  11   5  18      0   -5.951736	  10  11   5  18      0   -4.641876
5971 :   10  11   4  19      0   -5.951736	  10  11   4  19      0   -4.641876
5996 :   12  13   7  24      0   -9.419554	  12  13   7  24      0   -7.118630
5997 :   12  13   6  25      0   -9.419554	  12  13   6  25      0   -7.118630
6016 :   14  15   7  24      0   -1.409848	  14  15   7  24      0   -1.277004
6017 :   14  15   6  25      0   -1.409848	  14  15   6  25      0   -1.277004
6019 :   14  15   9  26      0   -9.021839	  14  15   9  26      0   -6.744040
6020 :   14  15   8  27      0   -9.021839	  14  15   8  27      0   -6.744040
6036 :    3  16   6  25      0   -8.353526	   3  16   6  25      0    0.341300
6039 :    3  16   8  27      0    1.447764	   3  16   8  27      0    2.630980
6043 :    3  16   0  29      0   -5.615264	   3  16   0  29      0   -0.716285
6044 :    3  16  10  29      0   -4.085805	   3  16  10  29      0   -0.085805
6053 :    2  17   7  24      0   -8.353526	   2  17   7  24      0    0.341300
6056 :    2  17   9  26      0    1.447764	   2  17   9  26      0    2.630980
6059 :    2  17   1  28      0   -5.615264	   2  17   1  28      0   -0.716285
6060 :    2  17  11  28      0   -4.085805	   2  17  11  28      0   -0.085805
6070 :   16  17   7  24      0  -10.036169	  16  17   7  24      0   -7.758370
6071 :   16  17   6  25      0  -10.036169	  16  17   6  25      0   -7.758370
6073 :   16  17   9  26      0   -2.571401	  16  17   9  26      0   -2.261432
6074 :   16  17   8  27      0   -2.571401	  16  17   8  27      0   -2.261432
6077 :   16  17  11  28      0  -11.251792	  16  17  11  28      0   -8.632060
6079 :   16  17  10  29      0  -11.251792	  16  17  10  29      0   -8.632060
6090 :    5  18   8  27      0   -9.500220	   5  18   8  27      0   -1.133620
6094 :    5  18   0  29      0   -3.970587	   5  18   0  29      0   -0.506485
6095 :    5  18  10  29      0   -2.889102	   5  18  10  29      0   -0.060675
6104 :    4  19   9  26      0   -9.500220	   4  19   9  26      0   -1.133620
6107 :    4  19   1  28      0   -3.970587	   4  19   1  28      0   -0.506485
6108 :    4  19  11  28      0   -2.889102	   4  19  11  28      0   -0.060675
6118 :   18  19   9  26      0   -8.975295	  18  19   9  26      0   -6.783482
6119 :   18  19   8  27      0   -8.975295	  18  19   8  27      0   -6.783482
6122 :   18  19  11  28      0   -7.956215	  18  19  11  28      0   -6.103796
6124 :   18  19  10  29      0   -7.956215	  18  19  10  29      0   -6.103796
6218 :    0   1   2   3      1    1.724820	   0   1   2   3      1   -1.437456
6219 :    0   1   3   4      1    5.656860	   0   1   3   4      1    2.828430
6220 :    0   1   2   5      1   -5.656860	   0   1   2   5      1   -2.828430
6221 :    0   1   4   5      1    5.272840	   0   1   4   5      1    6.272842
6290 :    2   3   6   7      1   -1.050210	   2   3   6   7      1   -7.785210
6291 :    2   3   1   8      1    2.461510	   2   3   1   8      1    3.616210
6292 :    2   3   7   8      1    3.721490	   2   3   7   8      1    2.521490
6293 :    2   3   0   9      1   -2.461510	   2   3   0   9      1   -3.616210
6294 :    2   3   6   9      1   -3.721490	   2   3   6   9      1   -2.521490
6295 :    2   3   8   9      1   -0.096030	   2   3   8   9      1   -0.829362
6296 :    2   3   1  10      1    1.884890	   2   3   1  10      1    4.466876
6297 :    2   3   9  10      1   -1.101970	   2   3   9  10      1   -2.044780
6298 :    2   3   0  11      1   -1.884890	   2   3   0  11      1   -4.466876
6299 :    2   3   8  11      1    1.101970	   2   3   8  11      1    2.044780
6300 :    2   3  10  11      1   -0.674910	   2   3  10  11      1   -2.783094
6358 :    3   4   1   8      1   -2.543270	   3   4   1   8      1   -3.834266
6360 :    3   4   0   9      1    0.161880	   3   4   0   9      1    1.452876
6361 :    3   4   6   9      1   -8.842444	   3   4   6   9      1   -2.134240
6362 :    3   4   8   9      1    1.624110	   3   4   8   9      1    3.114822
6363 :    3   4   1  10      1   -0.011915	   3   4   1  10      1    2.297485
6364 :    3   4   9  10      1   -1.888170	   3   4   9  10      1   -0.834078
6365 :    3   4   0  11      1   -2.131990	   3   4   0  11      1   -4.441390
6366 :    3   4   8  11      1    1.951230	   3   4   8  11      1    0.897138
6367 :    3   4  10  11      1    0.796308	   3   4  10  11      1   -1.089312
6424 :    2   5   1   8      1    0.161880	   2   5   1   8      1    1.452876
6425 :    2   5   7   8      1   -8.842444	   2   5   7   8      1   -2.134240
6426 :    2   5   0   9      1   -2.543270	   2   5   0   9      1   -3.834266
6428 :    2   5   8   9      1   -1.624110	   2   5   8   9      1   -3.114822
6429 :    2   5   1  10      1   -2.131990	   2   5   1  10      1   -4.441390
6430 :    2   5   9  10      1    1.951230	   2   5   9  10      1    0.897138
6431 :    2   5   0  11      1   -0.011915	   2   5   0  11      1    2.297485
6432 :    2   5   8  11      1   -1.888170	   2   5   8  11      1   -0.834078
6433 :    2   5  10  11      1   -0.796308	   2   5  10  11      1    1.089312
6489 :    4   5   1   8      1   -5.804820	   4   5   1   8      1   -9.456306
6491 :    4   5   0   9      1    5.804820	   4   5   0   9      1    9.456306
6493 :    4   5   8   9      1   -1.533710	   4   5   8   9      1   -6.804170
6494 :    4   5   1  10      1   -1.481160	   4   5   1  10      1   -2.297658
