     ====> Interaction part
Nucleon-Nucleon interaction model: who knows?
Type of calculation: magical
Number and value of starting energies:   1
  0.000000E+00
Total number of twobody matx elements:         34320    5781    22758    5781                    
Matrix elements with the following legend, NOTE no hw/A for Hcom, pipj and rirj
      Tz      Parity    J2        a        b        c        d     <ab|V|cd>    <ab|0|cd>    <ab|0|cd>    <ab|0|cd>
      -1        0        0        1        1        1        1    -9.020965     0.000000     0.000000     0.000000
      -1        0        0        1        1        1       11    -3.354029     0.000000     0.000000     0.000000
      -1        0        0        1        1        1       29    -1.569636     0.000000     0.000000     0.000000
      -1        0        0        1        1        3        3     1.983297     0.000000     0.000000     0.000000
      -1        0        0        1        1        3       17     0.792375     0.000000     0.000000     0.000000
      -1        0        0        1        1        5        5     1.360831     0.000000     0.000000     0.000000
      -1        0        0        1        1        5       19     0.665501     0.000000     0.000000     0.000000
      -1        0        0        1        1        7        7    -0.430709     0.000000     0.000000     0.000000
      -1        0        0        1        1        7       25     0.138908     0.000000     0.000000     0.000000
      -1        0        0        1        1        9        9    -0.356651     0.000000     0.000000     0.000000
      -1        0        0        1        1        9       27    -0.077339     0.000000     0.000000     0.000000
      -1        0        0        1        1       11       11    -0.618726     0.000000     0.000000     0.000000
      -1        0        0        1        1       11       29    -0.058323     0.000000     0.000000     0.000000
      -1        0        0        1        1       13       13    -0.119622     0.000000     0.000000     0.000000
      -1        0        0        1        1       15       15    -0.103596     0.000000     0.000000     0.000000
      -1        0        0        1        1       17       17    -0.269043     0.000000     0.000000     0.000000
      -1        0        0        1        1       19       19    -0.148670     0.000000     0.000000     0.000000
      -1        0        0        1        1       21       21     0.102538     0.000000     0.000000     0.000000
      -1        0        0        1        1       23       23     0.091713     0.000000     0.000000     0.000000
      -1        0        0        1        1       25       25     0.409759     0.000000     0.000000     0.000000
      -1        0        0        1        1       27       27     0.339545     0.000000     0.000000     0.000000
      -1        0        0        1        1       29       29     0.433829     0.000000     0.000000     0.000000
      -1        0        0        1       11        1       11    -4.526967     0.000000     0.000000     0.000000
      -1        0        0        1       11        1       29    -3.281330     0.000000     0.000000     0.000000
      -1        0        0        1       11        3        3    -2.563731     0.000000     0.000000     0.000000
      -1        0        0        1       11        3       17     0.022364     0.000000     0.000000     0.000000
      -1        0        0        1       11        5        5    -1.810014     0.000000     0.000000     0.000000
      -1        0        0        1       11        5       19    -0.098898     0.000000     0.000000     0.000000
      -1        0        0        1       11        7        7     1.501572     0.000000     0.000000     0.000000
      -1        0        0        1       11        7       25     0.531667     0.000000     0.000000     0.000000
      -1        0        0        1       11        9        9     1.074470     0.000000     0.000000     0.000000
      -1        0        0        1       11        9       27     0.664255     0.000000     0.000000     0.000000
      -1        0        0        1       11       11       11    -0.526997     0.000000     0.000000     0.000000
      -1        0        0        1       11       11       29    -0.294518     0.000000     0.000000     0.000000
      -1        0        0        1       11       13       13    -0.588577     0.000000     0.000000     0.000000
      -1        0        0        1       11       15       15    -0.509723     0.000000     0.000000     0.000000
      -1        0        0        1       11       17       17    -0.168033     0.000000     0.000000     0.000000
      -1        0        0        1       11       19       19    -0.121635     0.000000     0.000000     0.000000
      -1        0        0        1       11       21       21     0.064220     0.000000     0.000000     0.000000
      -1        0        0        1       11       23       23     0.057440     0.000000     0.000000     0.000000
      -1        0        0        1       11       25       25     0.294555     0.000000     0.000000     0.000000
      -1        0        0        1       11       27       27     0.392061     0.000000     0.000000     0.000000
      -1        0        0        1       11       29       29     0.284731     0.000000     0.000000     0.000000
      -1        0        0        1       29        1       29    -4.357073     0.000000     0.000000     0.000000
      -1        0        0        1       29        3        3    -2.379778     0.000000     0.000000     0.000000
      -1        0        0        1       29        3       17    -2.605281     0.000000     0.000000     0.000000
      -1        0        0        1       29        5        5    -1.554872     0.000000     0.000000     0.000000
      -1        0        0        1       29        5       19    -1.928630     0.000000     0.000000     0.000000
      -1        0        0        1       29        7        7     0.697210     0.000000     0.000000     0.000000
      -1        0        0        1       29        7       25     1.251833     0.000000     0.000000     0.000000
      -1        0        0        1       29        9        9     0.294890     0.000000     0.000000     0.000000
      -1        0        0        1       29        9       27     0.966346     0.000000     0.000000     0.000000
      -1        0        0        1       29       11       11    -1.340848     0.000000     0.000000     0.000000
      -1        0        0        1       29       11       29    -0.944814     0.000000     0.000000     0.000000
      -1        0        0        1       29       13       13     0.148213     0.000000     0.000000     0.000000
      -1        0        0        1       29       15       15     0.128356     0.000000     0.000000     0.000000
      -1        0        0        1       29       17       17    -0.397102     0.000000     0.000000     0.000000
      -1        0        0        1       29       19       19    -0.408679     0.000000     0.000000     0.000000
      -1        0        0        1       29       21       21    -0.291302     0.000000     0.000000     0.000000
      -1        0        0        1       29       23       23    -0.260548     0.000000     0.000000     0.000000
      -1        0        0        1       29       25       25     0.608673     0.000000     0.000000     0.000000
      -1        0        0        1       29       27       27     0.771359     0.000000     0.000000     0.000000
      -1        0        0        1       29       29       29     0.259095     0.000000     0.000000     0.000000
      -1        0        0        3        3        3        3    -2.777388     0.000000     0.000000     0.000000
      -1        0        0        3        3        3       17     0.344360     0.000000     0.000000     0.000000
      -1        0        0        3        3        5        5    -5.074996     0.000000     0.000000     0.000000
      -1        0        0        3        3        5       19    -1.990489     0.000000     0.000000     0.000000
      -1        0        0        3        3        7        7    -0.559536     0.000000     0.000000     0.000000
      -1        0        0        3        3        7       25    -0.631742     0.000000     0.000000     0.000000
      -1        0        0        3        3        9        9     1.992376     0.000000     0.000000     0.000000
      -1        0        0        3        3        9       27     1.969635     0.000000     0.000000     0.000000
      -1        0        0        3        3       11       11    -0.459905     0.000000     0.000000     0.000000
      -1        0        0        3        3       11       29    -0.503970     0.000000     0.000000     0.000000
      -1        0        0        3        3       13       13     0.167261     0.000000     0.000000     0.000000
      -1        0        0        3        3       15       15    -0.805257     0.000000     0.000000     0.000000
      -1        0        0        3        3       17       17     0.516380     0.000000     0.000000     0.000000
      -1        0        0        3        3       19       19    -0.565877     0.000000     0.000000     0.000000
      -1        0        0        3        3       21       21    -0.392101     0.000000     0.000000     0.000000
      -1        0        0        3        3       23       23    -0.001775     0.000000     0.000000     0.000000
      -1        0        0        3        3       25       25    -0.875181     0.000000     0.000000     0.000000
      -1        0        0        3        3       27       27     0.731543     0.000000     0.000000     0.000000
      -1        0        0        3        3       29       29    -0.510465     0.000000     0.000000     0.000000
      -1        0        0        3       17        3       17    -1.251474     0.000000     0.000000     0.000000
      -1        0        0        3       17        5        5    -1.394361     0.000000     0.000000     0.000000
      -1        0        0        3       17        5       19    -4.186029     0.000000     0.000000     0.000000
      -1        0        0        3       17        7        7    -2.817405     0.000000     0.000000     0.000000
      -1        0        0        3       17        7       25    -2.363080     0.000000     0.000000     0.000000
      -1        0        0        3       17        9        9    -1.573709     0.000000     0.000000     0.000000
      -1        0        0        3       17        9       27     0.573919     0.000000     0.000000     0.000000
      -1        0        0        3       17       11       11    -2.655580     0.000000     0.000000     0.000000
      -1        0        0        3       17       11       29    -2.636243     0.000000     0.000000     0.000000
      -1        0        0        3       17       13       13     1.318525     0.000000     0.000000     0.000000
      -1        0        0        3       17       15       15     1.454403     0.000000     0.000000     0.000000
      -1        0        0        3       17       17       17     1.209395     0.000000     0.000000     0.000000
      -1        0        0        3       17       19       19    -0.769191     0.000000     0.000000     0.000000
      -1        0        0        3       17       21       21    -0.373045     0.000000     0.000000     0.000000
      -1        0        0        3       17       23       23    -0.745584     0.000000     0.000000     0.000000
      -1        0        0        3       17       25       25    -1.339463     0.000000     0.000000     0.000000
      -1        0        0        3       17       27       27     0.603129     0.000000     0.000000     0.000000
      -1        0        0        3       17       29       29    -1.566286     0.000000     0.000000     0.000000
      -1        0        0        5        5        5        5     0.699375     0.000000     0.000000     0.000000
      -1        0        0        5        5        5       19     1.415354     0.000000     0.000000     0.000000
      -1        0        0        5        5        7        7     2.708175     0.000000     0.000000     0.000000
      -1        0        0        5        5        7       25     1.530489     0.000000     0.000000     0.000000
      -1        0        0        5        5        9        9    -1.452576     0.000000     0.000000     0.000000
      -1        0        0        5        5        9       27    -1.432108     0.000000     0.000000     0.000000
      -1        0        0        5        5       11       11    -0.197415     0.000000     0.000000     0.000000
      -1        0        0        5        5       11       29    -0.234607     0.000000     0.000000     0.000000
      -1        0        0        5        5       13       13    -0.963973     0.000000     0.000000     0.000000
      -1        0        0        5        5       15       15     0.537208     0.000000     0.000000     0.000000
      -1        0        0        5        5       17       17    -0.412180     0.000000     0.000000     0.000000
      -1        0        0        5        5       19       19     0.819673     0.000000     0.000000     0.000000
      -1        0        0        5        5       21       21     0.139011     0.000000     0.000000     0.000000
      -1        0        0        5        5       23       23    -0.408957     0.000000     0.000000     0.000000
      -1        0        0        5        5       25       25     0.349471     0.000000     0.000000     0.000000
      -1        0        0        5        5       27       27    -1.325243     0.000000     0.000000     0.000000
      -1        0        0        5        5       29       29    -0.289544     0.000000     0.000000     0.000000
      -1        0        0        5       19        5       19     1.647171     0.000000     0.000000     0.000000
      -1        0        0        5       19        7        7    -0.844702     0.000000     0.000000     0.000000
      -1        0        0        5       19        7       25     1.673920     0.000000     0.000000     0.000000
      -1        0        0        5       19        9        9    -1.427480     0.000000     0.000000     0.000000
      -1        0        0        5       19        9       27    -2.984116     0.000000     0.000000     0.000000
      -1        0        0        5       19       11       11    -1.890157     0.000000     0.000000     0.000000
      -1        0        0        5       19       11       29    -1.725940     0.000000     0.000000     0.000000
      -1        0        0        5       19       13       13     1.241082     0.000000     0.000000     0.000000
      -1        0        0        5       19       15       15     0.680112     0.000000     0.000000     0.000000
      -1        0        0        5       19       17       17    -0.377864     0.000000     0.000000     0.000000
      -1        0        0        5       19       19       19     1.653126     0.000000     0.000000     0.000000
      -1        0        0        5       19       21       21    -0.730986     0.000000     0.000000     0.000000
      -1        0        0        5       19       23       23    -0.061962     0.000000     0.000000     0.000000
      -1        0        0        5       19       25       25     0.558815     0.000000     0.000000     0.000000
      -1        0        0        5       19       27       27    -2.293004     0.000000     0.000000     0.000000
      -1        0        0        5       19       29       29    -0.998034     0.000000     0.000000     0.000000
      -1        0        0        7        7        7        7    -0.679383     0.000000     0.000000     0.000000
      -1        0        0        7        7        7       25     1.072024     0.000000     0.000000     0.000000
      -1        0        0        7        7        9        9    -3.659603     0.000000     0.000000     0.000000
      -1        0        0        7        7        9       27    -1.937113     0.000000     0.000000     0.000000
      -1        0        0        7        7       11       11    -1.034010     0.000000     0.000000     0.000000
      -1        0        0        7        7       11       29    -0.201089     0.000000     0.000000     0.000000
      -1        0        0        7        7       13       13    -2.043339     0.000000     0.000000     0.000000
      -1        0        0        7        7       15       15     2.728192     0.000000     0.000000     0.000000
      -1        0        0        7        7       17       17    -0.348481     0.000000     0.000000     0.000000
      -1        0        0        7        7       19       19     0.423157     0.000000     0.000000     0.000000
      -1        0        0        7        7       21       21     0.588183     0.000000     0.000000     0.000000
      -1        0        0        7        7       23       23    -1.186666     0.000000     0.000000     0.000000
      -1        0        0        7        7       25       25     0.814650     0.000000     0.000000     0.000000
      -1        0        0        7        7       27       27    -0.766971     0.000000     0.000000     0.000000
      -1        0        0        7        7       29       29     0.137640     0.000000     0.000000     0.000000
      -1        0        0        7       25        7       25     0.494801     0.000000     0.000000     0.000000
      -1        0        0        7       25        9        9     0.018641     0.000000     0.000000     0.000000
      -1        0        0        7       25        9       27    -3.741109     0.000000     0.000000     0.000000
      -1        0        0        7       25       11       11     1.190185     0.000000     0.000000     0.000000
      -1        0        0        7       25       11       29    -0.339873     0.000000     0.000000     0.000000
      -1        0        0        7       25       13       13    -3.230403     0.000000     0.000000     0.000000
      -1        0        0        7       25       15       15    -0.619912     0.000000     0.000000     0.000000
      -1        0        0        7       25       17       17    -3.385563     0.000000     0.000000     0.000000
