     ====> Interaction part
Nucleon-Nucleon interaction model: who knows?
Type of calculation: magical
Number and value of starting energies:   1
  0.000000E+00
Total number of twobody matx elements:         34320           78000        311032          78000
Matrix elements with the following legend, NOTE no hw/A for Hcom, pipj and rirj
      Tz      Parity    J2        a        b        c        d     <ab|V|cd>    <ab|0|cd>    <ab|0|cd>    <ab|0|cd>
      -1        0        0        0        0        0        0    -8.838108     0.000000     0.000000     0.000000
      -1        0        0        0        0        0       10    -3.212819     0.000000     0.000000     0.000000
      -1        0        0        0        0        0       28    -1.248712     0.000000     0.000000     0.000000
      -1        0        0        0        0        2        2     2.063041     0.000000     0.000000     0.000000
      -1        0        0        0        0        2       16     0.682871     0.000000     0.000000     0.000000
      -1        0        0        0        0        4        4     1.404819     0.000000     0.000000     0.000000
      -1        0        0        0        0        4       18     0.590238     0.000000     0.000000     0.000000
      -1        0        0        0        0        6        6    -0.000000     0.000000     0.000000     0.000000
      -1        0        0        0        0        6       24     0.000000     0.000000     0.000000     0.000000
      -1        0        0        0        0        8        8    -0.000000     0.000000     0.000000     0.000000
      -1        0        0        0        0        8       26    -0.000000     0.000000     0.000000     0.000000
      -1        0        0        0        0       10       10     0.000000     0.000000     0.000000     0.000000
      -1        0        0        0        0       10       28     0.000000     0.000000     0.000000     0.000000
      -1        0        0        0        0       12       12    -0.000000     0.000000     0.000000     0.000000
      -1        0        0        0        0       14       14    -0.000000     0.000000     0.000000     0.000000
      -1        0        0        0        0       16       16     0.000000     0.000000     0.000000     0.000000
      -1        0        0        0        0       18       18     0.000000     0.000000     0.000000     0.000000
      -1        0        0        0        0       20       20    -0.000000     0.000000     0.000000     0.000000
      -1        0        0        0        0       22       22    -0.000000     0.000000     0.000000     0.000000
      -1        0        0        0        0       24       24     0.000000     0.000000     0.000000     0.000000
      -1        0        0        0        0       26       26     0.000000     0.000000     0.000000     0.000000
      -1        0        0        0        0       28       28     0.000000     0.000000     0.000000     0.000000
      -1        0        0        0       10        0       10    -4.544263     0.000000     0.000000     0.000000
      -1        0        0        0       10        0       28    -3.161212     0.000000     0.000000     0.000000
      -1        0        0        0       10        2        2    -2.765405     0.000000     0.000000     0.000000
      -1        0        0        0       10        2       16    -0.035794     0.000000     0.000000     0.000000
      -1        0        0        0       10        4        4    -1.480625     0.000000     0.000000     0.000000
      -1        0        0        0       10        4       18    -0.034460     0.000000     0.000000     0.000000
      -1        0        0        0       10        6        6     1.692598     0.000000     0.000000     0.000000
      -1        0        0        0       10        6       24     0.515813     0.000000     0.000000     0.000000
