            I          RhoTot      nr          Nc          J           S           Lt          Lr          Lc          T           mT
           1           0           0           0           0           0           0           0           0           0           0
           2           0           0           0           1           1           0           0           0           0           0
           3           0           0           0           0           0           0           0           0           1          -1
           4           0           0           0           1           1           0           0           0           1          -1
           5           0           0           0           0           0           0           0           0           1           0
           6           0           0           0           1           1           0           0           0           1           0
           7           0           0           0           0           0           0           0           0           1           1
           8           0           0           0           1           1           0           0           0           1           1
           9           1           0           0           0           1           1           1           0           0           0
          10           1           0           0           0           1           1           0           1           0           0
          11           1           0           0           1           0           1           1           0           0           0
          12           1           0           0           1           0           1           0           1           0           0
          13           1           0           0           1           1           1           1           0           0           0
          14           1           0           0           1           1           1           0           1           0           0
          15           1           0           0           2           1           1           1           0           0           0
          16           1           0           0           2           1           1           0           1           0           0
          17           1           0           0           0           1           1           1           0           1          -1
          18           1           0           0           0           1           1           0           1           1          -1
          19           1           0           0           1           0           1           1           0           1          -1
          20           1           0           0           1           0           1           0           1           1          -1
          21           1           0           0           1           1           1           1           0           1          -1
          22           1           0           0           1           1           1           0           1           1          -1
          23           1           0           0           2           1           1           1           0           1          -1
          24           1           0           0           2           1           1           0           1           1          -1
          25           1           0           0           0           1           1           1           0           1           0
          26           1           0           0           0           1           1           0           1           1           0
          27           1           0           0           1           0           1           1           0           1           0
          28           1           0           0           1           0           1           0           1           1           0
          29           1           0           0           1           1           1           1           0           1           0
          30           1           0           0           1           1           1           0           1           1           0
          31           1           0           0           2           1           1           1           0           1           0
          32           1           0           0           2           1           1           0           1           1           0
          33           1           0           0           0           1           1           1           0           1           1
          34           1           0           0           0           1           1           0           1           1           1
          35           1           0           0           1           0           1           1           0           1           1
          36           1           0           0           1           0           1           0           1           1           1
          37           1           0           0           1           1           1           1           0           1           1
          38           1           0           0           1           1           1           0           1           1           1
          39           1           0           0           2           1           1           1           0           1           1
          40           1           0           0           2           1           1           0           1           1           1
          41           2           0           1           0           0           0           0           0           0           0
          42           2           1           0           0           0           0           0           0           0           0
          43           2           0           0           0           0           0           1           1           0           0
          44           2           0           0           0           1           1           1           1           0           0
          45           2           0           0           1           0           1           1           1           0           0
          46           2           0           1           1           1           0           0           0           0           0
          47           2           1           0           1           1           0           0           0           0           0
          48           2           0           0           1           1           0           1           1           0           0
          49           2           0           0           1           1           1           1           1           0           0
          50           2           0           0           1           1           2           2           0           0           0
          51           2           0           0           1           1           2           1           1           0           0
          52           2           0           0           1           1           2           0           2           0           0
          53           2           0           0           2           0           2           2           0           0           0
          54           2           0           0           2           0           2           1           1           0           0
          55           2           0           0           2           0           2           0           2           0           0
          56           2           0           0           2           1           1           1           1           0           0
          57           2           0           0           2           1           2           2           0           0           0
          58           2           0           0           2           1           2           1           1           0           0
          59           2           0           0           2           1           2           0           2           0           0
          60           2           0           1           0           0           0           0           0           1          -1
          61           2           1           0           0           0           0           0           0           1          -1
          62           2           0           0           0           0           0           1           1           1          -1
          63           2           0           0           0           1           1           1           1           1          -1
          64           2           0           0           1           0           1           1           1           1          -1
          65           2           0           1           1           1           0           0           0           1          -1
          66           2           1           0           1           1           0           0           0           1          -1
          67           2           0           0           1           1           0           1           1           1          -1
          68           2           0           0           1           1           1           1           1           1          -1
          69           2           0           0           1           1           2           2           0           1          -1
          70           2           0           0           1           1           2           1           1           1          -1
          71           2           0           0           1           1           2           0           2           1          -1
          72           2           0           0           2           0           2           2           0           1          -1
          73           2           0           0           2           0           2           1           1           1          -1
          74           2           0           0           2           0           2           0           2           1          -1
          75           2           0           0           2           1           1           1           1           1          -1
          76           2           0           0           2           1           2           2           0           1          -1
          77           2           0           0           2           1           2           1           1           1          -1
          78           2           0           0           2           1           2           0           2           1          -1
          79           2           0           1           0           0           0           0           0           1           0
          80           2           1           0           0           0           0           0           0           1           0
          81           2           0           0           0           0           0           1           1           1           0
          82           2           0           0           0           1           1           1           1           1           0
          83           2           0           0           1           0           1           1           1           1           0
          84           2           0           1           1           1           0           0           0           1           0
          85           2           1           0           1           1           0           0           0           1           0
          86           2           0           0           1           1           0           1           1           1           0
          87           2           0           0           1           1           1           1           1           1           0
          88           2           0           0           1           1           2           2           0           1           0
          89           2           0           0           1           1           2           1           1           1           0
          90           2           0           0           1           1           2           0           2           1           0
          91           2           0           0           2           0           2           2           0           1           0
          92           2           0           0           2           0           2           1           1           1           0
          93           2           0           0           2           0           2           0           2           1           0
          94           2           0           0           2           1           1           1           1           1           0
          95           2           0           0           2           1           2           2           0           1           0
          96           2           0           0           2           1           2           1           1           1           0
          97           2           0           0           2           1           2           0           2           1           0
          98           2           0           1           0           0           0           0           0           1           1
          99           2           1           0           0           0           0           0           0           1           1
         100           2           0           0           0           0           0           1           1           1           1
         101           2           0           0           0           1           1           1           1           1           1
         102           2           0           0           1           0           1           1           1           1           1
         103           2           0           1           1           1           0           0           0           1           1
         104           2           1           0           1           1           0           0           0           1           1
         105           2           0           0           1           1           0           1           1           1           1
         106           2           0           0           1           1           1           1           1           1           1
         107           2           0           0           1           1           2           2           0           1           1
         108           2           0           0           1           1           2           1           1           1           1
         109           2           0           0           1           1           2           0           2           1           1
         110           2           0           0           2           0           2           2           0           1           1
         111           2           0           0           2           0           2           1           1           1           1
         112           2           0           0           2           0           2           0           2           1           1
         113           2           0           0           2           1           1           1           1           1           1
         114           2           0           0           2           1           2           2           0           1           1
         115           2           0           0           2           1           2           1           1           1           1
         116           2           0           0           2           1           2           0           2           1           1
