 Nmax:           2
 hbar Omega:   40.000000000000000     
 mpi:   138.03027357350001     
 f^2:   8.0000000000000002E-002
 Lambda:Infinity
           Bra         Ket            ME_rel           ME_CM 
           6           1  -1.3884528279427245E-004   0.0000000000000000     
          81           1   0.0000000000000000        6.8071606772828509E-008
          83           1   0.0000000000000000        1.8263698560971138E-007
          85           1   5.4068779690608665E-005   0.0000000000000000     
          88           1  -3.4064650506656263E-004   0.0000000000000000     
          92           1   0.0000000000000000        2.9332171041852686E-007
           5           2  -1.3884528279427231E-004   0.0000000000000000     
          80           2   5.4068779690608760E-005   0.0000000000000000     
          82           2   0.0000000000000000       -1.0544551280574865E-007
          86           2   0.0000000000000000       -1.1790348148338875E-007
          87           2   0.0000000000000000       -1.8263698560971138E-007
          89           2   0.0000000000000000       -2.2720601990640587E-007
          91           2  -3.4064650506656263E-004   0.0000000000000000     
          94           2   0.0000000000000000       -2.3578333455597854E-007
          96           2   0.0000000000000000       -2.9332171041852696E-007
           2           5   1.3884528030224524E-004   0.0000000000000000     
          43           5   0.0000000000000000       -6.8071607994593438E-008
          45           5   0.0000000000000000       -1.8263698888772219E-007
          47           5  -5.4068778720169719E-005   0.0000000000000000     
          50           5   3.4064649895256048E-004   0.0000000000000000     
          54           5   0.0000000000000000       -2.9332171568313282E-007
           1           6   1.3884528030224511E-004   0.0000000000000000     
          42           6  -5.4068778720169814E-005   0.0000000000000000     
          44           6   0.0000000000000000        1.0544551469830908E-007
          48           6   0.0000000000000000        1.1790348359954771E-007
          49           6   0.0000000000000000        1.8263698888772219E-007
          51           6   0.0000000000000000        2.2720602398435206E-007
          53           6   3.4064649895256048E-004   0.0000000000000000     
          56           6   0.0000000000000000        2.3578333878787240E-007
          58           6   0.0000000000000000        2.9332171568313282E-007
          26           9   0.0000000000000000        9.7039902455463925E-008
          27           9   2.5342231575201855E-004   0.0000000000000000     
          30           9   0.0000000000000000        1.6807804141439138E-007
          32           9   0.0000000000000000        2.1698781842036611E-007
          25          10   0.0000000000000000        1.2129987806932995E-007
          28          10   8.0162361396982824E-005   0.0000000000000000     
          29          10   0.0000000000000000        2.1009755176798925E-007
          31          10   0.0000000000000000        2.7123477302545771E-007
          25          11   2.5342231575201844E-004   0.0000000000000000     
          28          11   0.0000000000000000       -5.0423412424317415E-007
          29          11   4.9395854814701288E-004   0.0000000000000000     
          31          11  -1.5595083612326353E-004   0.0000000000000000     
          88          11  -2.9912459002552979E-020   0.0000000000000000     
          95          11   1.7269966257247609E-020   0.0000000000000000     
          26          12   8.0162361396982892E-005   0.0000000000000000     
          27          12   0.0000000000000000       -6.3029265530396758E-007
          30          12   1.3884528279427239E-004   0.0000000000000000     
          32          12   1.7924848932055872E-004   0.0000000000000000     
          26          13   0.0000000000000000        1.6807804141439138E-007
          27          13  -4.9395854814701309E-004   0.0000000000000000     
          30          13   0.0000000000000000        2.9111970736639170E-007
          32          13   0.0000000000000000        3.7583392612760408E-007
          91          13  -2.9912459002552985E-020   0.0000000000000000     
          25          14   0.0000000000000000        2.1009755176798925E-007
          28          14   1.3884528279427228E-004   0.0000000000000000     
          29          14   0.0000000000000000        3.6389963420798986E-007
          31          14   0.0000000000000000        4.6979240765950506E-007
